Locality,Type,Rent/Month,Build_up_area(sq.ft),Furnishing,Bathrooms,Balcony,Parking,Carpet_area(sq.ft)
Andheri,1 RK Apartment,20000,350 sq.ft,Semi Furnished,1,Missing,0.0,250 sq.ft
Andheri,3 BHK Apartment,100000,1850 sq.ft,Semi Furnished,3,1,2.0,1400 sq.ft
Andheri,2 BHK Apartment,45000,1240 sq.ft,Semi Furnished,2,4,1.0,850 sq.ft
Andheri,1 BHK Apartment,31500,650 sq.ft,Unfurnished,2,Missing,1.0,425 sq.ft
Andheri,2 BHK Apartment,44000,1250 sq.ft,Unfurnished,2,3,1.0,800 sq.ft
Andheri,3 BHK Apartment,65000,1050 sq.ft,Fully Furnished,3,Missing,2.0,850 sq.ft
Andheri,3 BHK Apartment,72000,1377 sq.ft,Semi Furnished,2,2,1.0,889 sq.ft
Andheri,2 BHK Apartment,52000,1200 sq.ft,Semi Furnished,2,2,1.0,710 sq.ft
Andheri,3 BHK Apartment,100000,2200 sq.ft,Fully Furnished,3,4,2.0,1600 sq.ft
Andheri,3 BHK Apartment,55000,1350 sq.ft,Unfurnished,2,2,1.0,1064 sq.ft
Andheri,1 BHK Apartment,35000,630 sq.ft,Semi Furnished,2,Missing,1.0,430 sq.ft
Andheri,3 BHK Apartment,72000,987 sq.ft,Semi Furnished,2,2,2.0,880 sq.ft
Andheri,2 BHK Apartment,75000,750 sq.ft,Fully Furnished,2,Missing,1.0,650 sq.ft
Andheri,1 RK Apartment,22500,350 sq.ft,Unfurnished,1,Missing,0.0,280 sq.ft
Andheri,2 BHK Apartment,42000,1000 sq.ft,Fully Furnished,2,Missing,1.0,Missing
Andheri,2 BHK Apartment,75000,1350 sq.ft,Unfurnished,2,1,1.0,850 sq.ft
Andheri,1 BHK Apartment,30000,1050 sq.ft,Semi Furnished,1,Missing,1.0,824 sq.ft
Andheri,3 BHK Apartment,135000,1500 sq.ft,Fully Furnished,3,2,2.0,1280 sq.ft
Andheri,3 BHK Apartment,75000,1200 sq.ft,Fully Furnished,3,Missing,1.0,Missing
Andheri,2 BHK Apartment,38000,1000 sq.ft,Semi Furnished,2,Missing,1.0,790 sq.ft
Andheri,2 BHK Apartment,49500,1000 sq.ft,Fully Furnished,2,Missing,1.0,800 sq.ft
Andheri,3 BHK Apartment,75000,1482 sq.ft,Fully Furnished,3,4,1.0,1100 sq.ft
Andheri,3 BHK Apartment,69500,1300 sq.ft,Unfurnished,3,3,1.0,1100 sq.ft
Andheri,2 BHK Apartment,37500,900 sq.ft,Semi Furnished,2,Missing,1.0,Missing
Andheri,1 BHK Apartment,29000,600 sq.ft,Semi Furnished,2,Missing,1.0,480 sq.ft
